 nb            ed            pr           
 6.399482e-04  3.044996e-03  3.659307e-06 
 6.719456e-04  3.197432e-03  3.792725e-06 
 7.055429e-04  3.357497e-03  3.935606e-06 
 7.408200e-04  3.525573e-03  4.088444e-06 
 7.778610e-04  3.702060e-03  4.252009e-06 
 8.167541e-04  3.887380e-03  4.427106e-06 
 8.575918e-04  4.081974e-03  4.614639e-06 
 9.004714e-04  4.286309e-03  4.815500e-06 
 9.454949e-04  4.500870e-03  5.030752e-06 
 9.927697e-04  4.726171e-03  5.261478e-06 
 1.042408e-03  4.962749e-03  5.508762e-06 
 1.094529e-03  5.211168e-03  5.773886e-06 
 1.149255e-03  5.472022e-03  6.058203e-06 
 1.206718e-03  5.745934e-03  6.363115e-06 
 1.267054e-03  6.033557e-03  6.690098e-06 
 1.330406e-03  6.335577e-03  7.040811e-06 
 1.396927e-03  6.652718e-03  7.417052e-06 
 1.466773e-03  6.985734e-03  7.820611e-06 
 1.540112e-03  7.335422e-03  8.208050e-06 
 1.617117e-03  7.702614e-03  8.671885e-06 
 1.697973e-03  8.088191e-03  9.169495e-06 
 1.782872e-03  8.493072e-03  9.703831e-06 
 1.872015e-03  8.918225e-03  1.027585e-05 
 1.965616e-03  9.364665e-03  1.089003e-05 
 2.063897e-03  9.833459e-03  1.154945e-05 
 2.167092e-03  1.032573e-02  1.225527e-05 
 2.275446e-03  1.084264e-02  1.301302e-05 
 2.389219e-03  1.138545e-02  1.381259e-05 
 2.508680e-03  1.195543e-02  1.468358e-05 
 2.634113e-03  1.255396e-02  1.561841e-05 
 2.765819e-03  1.318246e-02  1.661861e-05 
 2.904110e-03  1.384244e-02  1.769184e-05 
 3.049316e-03  1.453548e-02  1.884187e-05 
 3.201781e-03  1.526247e-02  1.948259e-05 
 3.361870e-03  1.602660e-02  2.078195e-05 
 3.529964e-03  1.682901e-02  2.209290e-05 
 3.706462e-03  1.767161e-02  2.370427e-05 
 3.891785e-03  1.855641e-02  2.543112e-05 
 4.086375e-03  1.948554e-02  2.704273e-05 
 4.290693e-03  2.046121e-02  2.887066e-05 
 4.505228e-03  2.148576e-02  3.085567e-05 
 4.730489e-03  2.256164e-02  3.292874e-05 
 4.967014e-03  2.369143e-02  3.514314e-05 
 5.215365e-03  2.487782e-02  3.764650e-05 
 5.476133e-03  2.612366e-02  4.010603e-05 
 5.749939e-03  2.743191e-02  4.300483e-05 
 6.037436e-03  2.880573e-02  4.597673e-05 
 6.339308e-03  3.024839e-02  4.915152e-05 
 6.656274e-03  3.176334e-02  5.181590e-05 
 6.989087e-03  3.335418e-02  5.541001e-05 
 7.338542e-03  3.502475e-02  5.924949e-05 
 7.705469e-03  3.677905e-02  6.286012e-05 
 8.090742e-03  3.862125e-02  6.713874e-05 
 8.495279e-03  4.055579e-02  7.170748e-05 
 8.920043e-03  4.258734e-02  7.644516e-05 
 9.366045e-03  4.472065e-02  8.133468e-05 
 9.834348e-03  4.696092e-02  8.770518e-05 
 1.032607e-02  4.931348e-02  9.291006e-05 
