 nb            ed            pr           
 3.293825e-06  1.556358e-05  1.075126e-08 
 3.458516e-06  1.634231e-05  1.147608e-08 
 3.631442e-06  1.716002e-05  1.225042e-08 
 3.813014e-06  1.801865e-05  1.307544e-08 
 4.003665e-06  1.892026e-05  1.395667e-08 
 4.203848e-06  1.986700e-05  1.489725e-08 
 4.414040e-06  2.086111e-05  1.590122e-08 
 4.634742e-06  2.190499e-05  1.697265e-08 
 4.866480e-06  2.300112e-05  1.811622e-08 
 5.109804e-06  2.415211e-05  1.933676e-08 
 5.365294e-06  2.536071e-05  2.063942e-08 
 5.633558e-06  2.662982e-05  2.202977e-08 
 5.915236e-06  2.796244e-05  2.351380e-08 
 6.210998e-06  2.936177e-05  2.393005e-08 
 6.521548e-06  3.083109e-05  2.554173e-08 
 6.847625e-06  3.237397e-05  2.726199e-08 
 7.190007e-06  3.399407e-05  2.909806e-08 
 7.549507e-06  3.569528e-05  3.105927e-08 
 7.926982e-06  3.748165e-05  3.314891e-08 
 8.323332e-06  3.935744e-05  3.538288e-08 
 8.739498e-06  4.132714e-05  3.776307e-08 
 9.176473e-06  4.339545e-05  4.030565e-08 
 9.635297e-06  4.556730e-05  4.301894e-08 
 1.011706e-05  4.784789e-05  4.591511e-08 
 1.062291e-05  5.024266e-05  4.900592e-08 
 1.115406e-05  5.275732e-05  5.230458e-08 
 1.171176e-05  5.539789e-05  5.582537e-08 
 1.229735e-05  5.817067e-05  5.958295e-08 
 1.291222e-05  6.108228e-05  6.359680e-08 
 1.355783e-05  6.413968e-05  6.787335e-08 
 1.423572e-05  6.735017e-05  7.244108e-08 
 1.494751e-05  7.072142e-05  7.731613e-08 
 1.569488e-05  7.426148e-05  8.251911e-08 
 1.647963e-05  7.797876e-05  8.360790e-08 
 1.730361e-05  8.188202e-05  8.923376e-08 
 1.816879e-05  8.598073e-05  9.523876e-08 
 1.907723e-05  9.028469e-05  1.016470e-07 
 2.003109e-05  9.480417e-05  1.084864e-07 
 2.103264e-05  9.954998e-05  1.157923e-07 
 2.208428e-05  1.045335e-04  1.235831e-07 
 2.318849e-05  1.097665e-04  1.318910e-07 
 2.434791e-05  1.152617e-04  1.407637e-07 
 2.556531e-05  1.210320e-04  1.502343e-07 
 2.684358e-05  1.270914e-04  1.603410e-07 
 2.818575e-05  1.334542e-04  1.711374e-07 
 2.959504e-05  1.401358e-04  1.826400e-07 
 3.107479e-05  1.471520e-04  1.949269e-07 
 3.262853e-05  1.545197e-04  2.080396e-07 
 3.425996e-05  1.622564e-04  2.220331e-07 
 3.597296e-05  1.703806e-04  2.238258e-07 
 3.777161e-05  1.789112e-04  2.388693e-07 
 3.966019e-05  1.878691e-04  2.549354e-07 
 4.164320e-05  1.972758e-04  2.720839e-07 
 4.372536e-05  2.071536e-04  2.903865e-07 
 4.591162e-05  2.175263e-04  3.099185e-07 
 4.820721e-05  2.284186e-04  3.307609e-07 
 5.061757e-05  2.398566e-04  3.530094e-07 
 5.314844e-05  2.518677e-04  3.767731e-07 
 5.580587e-05  2.644802e-04  3.885397e-07 
 5.859616e-05  2.777242e-04  4.070997e-07 
 6.152597e-05  2.916314e-04  4.344819e-07 
 6.460227e-05  3.062354e-04  4.637306e-07 
 6.783238e-05  3.215711e-04  4.948948e-07 
 7.122400e-05  3.376753e-04  5.281782e-07 
 7.478520e-05  3.545861e-04  5.417847e-07 
 7.852446e-05  3.723434e-04  5.782231e-07 
 8.245068e-05  3.909905e-04  6.171121e-07 
 8.657322e-05  4.105719e-04  6.586190e-07 
 9.090188e-05  4.311345e-04  7.029121e-07 
 9.544697e-05  4.527275e-04  7.501885e-07 
 1.002193e-04  4.754026e-04  8.006416e-07 
 1.052303e-04  4.992141e-04  8.544885e-07 
 1.104918e-04  5.242182e-04  8.741492e-07 
 1.160164e-04  5.504742e-04  9.329407e-07 
 1.218172e-04  5.780461e-04  9.956846e-07 
 1.279081e-04  6.069999e-04  1.062651e-06 
 1.343035e-04  6.374047e-04  1.134112e-06 
 1.410186e-04  6.693336e-04  1.210386e-06 
 1.480696e-04  7.028628e-04  1.291791e-06 
 1.554731e-04  7.380720e-04  1.317581e-06 
 1.632467e-04  7.750436e-04  1.406183e-06 
 1.714090e-04  8.138684e-04  1.500763e-06 
 1.799795e-04  8.546394e-04  1.601684e-06 
 1.889785e-04  8.974541e-04  1.709399e-06 
 1.984274e-04  9.424151e-04  1.824362e-06 
 2.083488e-04  9.896300e-04  1.947066e-06 
 2.187662e-04  1.039212e-03  2.078013e-06 
 2.297045e-04  1.091276e-03  2.112429e-06 
 2.411897e-04  1.145949e-03  2.254497e-06 
 2.532492e-04  1.203363e-03  2.406252e-06 
 2.659117e-04  1.263655e-03  2.558277e-06 
