 nb            ed            pr           
 2.022123e-06  9.551720e-06  5.598148e-09 
 2.123229e-06  1.002960e-05  5.975973e-09 
 2.229390e-06  1.053138e-05  6.379225e-09 
 2.340860e-06  1.105828e-05  6.810061e-09 
 2.457903e-06  1.161155e-05  7.269510e-09 
 2.580798e-06  1.219250e-05  7.759455e-09 
 2.709838e-06  1.280253e-05  8.282862e-09 
 2.845330e-06  1.344308e-05  8.841470e-09 
 2.987596e-06  1.411569e-05  9.438249e-09 
 3.136976e-06  1.482196e-05  1.007410e-08 
 3.293825e-06  1.556358e-05  1.075334e-08 
 3.458516e-06  1.634232e-05  1.147894e-08 
 3.631442e-06  1.716003e-05  1.225206e-08 
 3.813014e-06  1.801866e-05  1.307786e-08 
 4.003665e-06  1.892027e-05  1.395931e-08 
 4.203848e-06  1.986700e-05  1.490010e-08 
 4.414040e-06  2.086112e-05  1.590420e-08 
 4.634742e-06  2.190500e-05  1.697591e-08 
 4.866480e-06  2.300113e-05  1.812070e-08 
 5.109804e-06  2.415212e-05  1.934045e-08 
 5.365294e-06  2.536073e-05  2.064338e-08 
 5.633558e-06  2.662983e-05  2.203399e-08 
 5.915236e-06  2.796246e-05  2.351818e-08 
 6.210998e-06  2.936178e-05  2.393447e-08 
 6.521548e-06  3.083111e-05  2.554799e-08 
 6.847625e-06  3.237398e-05  2.726700e-08 
 7.190007e-06  3.399409e-05  2.910343e-08 
 7.549507e-06  3.569530e-05  3.106500e-08 
 7.926982e-06  3.748167e-05  3.315502e-08 
 8.323332e-06  3.935746e-05  3.538730e-08 
 8.739498e-06  4.132716e-05  3.777218e-08 
 9.176473e-06  4.339547e-05  4.031292e-08 
 9.635297e-06  4.556733e-05  4.302693e-08 
 1.011706e-05  4.784792e-05  4.592352e-08 
 1.062291e-05  5.024269e-05  4.901776e-08 
 1.115406e-05  5.275735e-05  5.231431e-08 
 1.171176e-05  5.539792e-05  5.583579e-08 
 1.229735e-05  5.817070e-05  5.959401e-08 
 1.291222e-05  6.108232e-05  6.360503e-08 
 1.355783e-05  6.413972e-05  6.788568e-08 
 1.423572e-05  6.735021e-05  7.245461e-08 
 1.494751e-05  7.072146e-05  7.733067e-08 
 1.569488e-05  7.426153e-05  8.253470e-08 
 1.647963e-05  7.797881e-05  8.362268e-08 
 1.730361e-05  8.188207e-05  8.925014e-08 
 1.816879e-05  8.598078e-05  9.525545e-08 
 1.907723e-05  9.028474e-05  1.016649e-07 
 2.003109e-05  9.480423e-05  1.085057e-07 
 2.103264e-05  9.955004e-05  1.158070e-07 
 2.208428e-05  1.045335e-04  1.235980e-07 
 2.318849e-05  1.097666e-04  1.319138e-07 
 2.434791e-05  1.152617e-04  1.407893e-07 
 2.556531e-05  1.210321e-04  1.502608e-07 
 2.684358e-05  1.270915e-04  1.603694e-07 
 2.818575e-05  1.334543e-04  1.711681e-07 
 2.959504e-05  1.401359e-04  1.826723e-07 
 3.107479e-05  1.471521e-04  1.949618e-07 
 3.262853e-05  1.545198e-04  2.080878e-07 
 3.425996e-05  1.622565e-04  2.220738e-07 
 3.597296e-05  1.703808e-04  2.238525e-07 
 3.777161e-05  1.789114e-04  2.389095e-07 
 3.966019e-05  1.878693e-04  2.549946e-07 
 4.164320e-05  1.972759e-04  2.721311e-07 
 4.372536e-05  2.071538e-04  2.904371e-07 
 4.591162e-05  2.175264e-04  3.099725e-07 
 4.820721e-05  2.284188e-04  3.308205e-07 
 5.061757e-05  2.398568e-04  3.530715e-07 
 5.314844e-05  2.518679e-04  3.768187e-07 
 5.580587e-05  2.644804e-04  3.886081e-07 
 5.859616e-05  2.777245e-04  4.071967e-07 
 6.152597e-05  2.916317e-04  4.346095e-07 
 6.460227e-05  3.062357e-04  4.638144e-07 
 6.783238e-05  3.215715e-04  4.950100e-07 
 7.122400e-05  3.376756e-04  5.283024e-07 
 7.478520e-05  3.545865e-04  5.419139e-07 
 7.852446e-05  3.723438e-04  5.783616e-07 
 8.245068e-05  3.909909e-04  6.172604e-07 
 8.657322e-05  4.105723e-04  6.587711e-07 
 9.090188e-05  4.311350e-04  7.030779e-07 
 9.544697e-05  4.527280e-04  7.503629e-07 
 1.002193e-04  4.754032e-04  8.008308e-07 
 1.052303e-04  4.992147e-04  8.546879e-07 
 1.104918e-04  5.242188e-04  8.743991e-07 
 1.160164e-04  5.504749e-04  9.331530e-07 
 1.218172e-04  5.780468e-04  9.959126e-07 
 1.279081e-04  6.070006e-04  1.062890e-06 
 1.343035e-04  6.374055e-04  1.134374e-06 
 1.410186e-04  6.693344e-04  1.210660e-06 
 1.480696e-04  7.028636e-04  1.292084e-06 
 1.554731e-04  7.380729e-04  1.317868e-06 
 1.632467e-04  7.750446e-04  1.406499e-06 
 1.714090e-04  8.138694e-04  1.501090e-06 
 1.799795e-04  8.546404e-04  1.602043e-06 
 1.889785e-04  8.974552e-04  1.709785e-06 
 1.984274e-04  9.424163e-04  1.824774e-06 
 2.083488e-04  9.896314e-04  1.947493e-06 
 2.187662e-04  1.039214e-03  2.078586e-06 
 2.297045e-04  1.091277e-03  2.112899e-06 
 2.411897e-04  1.145950e-03  2.255000e-06 
 2.532492e-04  1.203364e-03  2.406649e-06 
 2.659117e-04  1.263657e-03  2.558333e-06 
 2.792073e-04  1.326970e-03  2.640315e-06 
 2.931676e-04  1.393452e-03  2.710611e-06 
 3.078260e-04  1.463262e-03  2.778036e-06 
 3.232173e-04  1.536565e-03  2.845187e-06 
 3.393782e-04  1.613538e-03  2.913535e-06 
 3.563471e-04  1.694362e-03  2.983517e-06 
 3.741644e-04  1.779231e-03  3.056274e-06 
 3.928727e-04  1.868347e-03  3.132205e-06 
 4.125163e-04  1.961921e-03  3.163436e-06 
 4.331421e-04  2.060177e-03  3.247893e-06 
 4.547992e-04  2.163350e-03  3.337084e-06 
 4.775392e-04  2.271687e-03  3.431491e-06 
 5.014161e-04  2.385446e-03  3.531068e-06 
 5.264870e-04  2.504897e-03  3.636949e-06 
 5.528113e-04  2.630326e-03  3.749429e-06 
 5.804519e-04  2.762033e-03  3.869342e-06 
 6.094745e-04  2.900331e-03  3.996651e-06 
 6.399482e-04  3.045551e-03  4.132628e-06 
 6.719456e-04  3.198039e-03  4.277723e-06 
 7.055429e-04  3.358159e-03  4.432751e-06 
 7.408200e-04  3.526292e-03  4.598431e-06 
 7.778610e-04  3.702841e-03  4.775652e-06 
 8.167541e-04  3.888227e-03  4.965226e-06 
 8.575918e-04  4.082891e-03  5.168184e-06 
 9.004714e-04  4.287299e-03  5.385528e-06 
 9.454949e-04  4.501939e-03  5.618396e-06 
 9.927697e-04  4.727323e-03  5.868271e-06 
 1.042408e-03  4.963990e-03  6.135393e-06 
 1.094529e-03  5.212502e-03  6.379604e-06 
 1.149255e-03  5.473454e-03  6.686711e-06 
 1.206718e-03  5.747469e-03  7.016116e-06 
 1.267054e-03  6.035202e-03  7.369399e-06 
 1.330406e-03  6.337340e-03  7.748466e-06 
 1.396927e-03  6.654604e-03  8.155211e-06 
 1.466773e-03  6.987753e-03  8.591584e-06 
 1.540112e-03  7.337582e-03  9.059859e-06 
 1.617117e-03  7.704926e-03  9.562381e-06 
 1.697973e-03  8.090664e-03  1.008955e-05 
 1.782872e-03  8.495715e-03  1.066808e-05 
 1.872015e-03  8.921050e-03  1.128890e-05 
 1.965616e-03  9.367683e-03  1.195590e-05 
 2.063897e-03  9.836682e-03  1.267017e-05 
 2.167092e-03  1.032917e-02  1.343810e-05 
 2.275446e-03  1.084632e-02  1.426040e-05 
 2.389219e-03  1.138937e-02  1.514450e-05 
 2.508680e-03  1.195902e-02  1.552063e-05 
 2.634113e-03  1.255777e-02  1.651016e-05 
 2.765819e-03  1.318651e-02  1.762298e-05 
 2.904110e-03  1.384674e-02  1.874415e-05 
 3.049316e-03  1.454004e-02  1.997812e-05 
 3.201781e-03  1.526808e-02  2.124277e-05 
 3.361870e-03  1.603258e-02  2.274668e-05 
 3.529964e-03  1.683539e-02  2.411454e-05 
 3.706462e-03  1.767841e-02  2.587689e-05 
 3.891785e-03  1.856367e-02  2.776605e-05 
 4.086375e-03  1.949328e-02  2.939664e-05 
 4.290693e-03  2.046946e-02  3.154177e-05 
 4.505228e-03  2.149456e-02  3.363773e-05 
 4.730489e-03  2.257103e-02  3.599149e-05 
 4.967014e-03  2.370144e-02  3.842088e-05 
 5.215365e-03  2.488849e-02  4.034630e-05 
 5.476133e-03  2.613500e-02  4.316393e-05 
 5.749939e-03  2.744400e-02  4.589317e-05 
 6.037436e-03  2.881857e-02  4.874400e-05 
 6.339308e-03  3.026204e-02  5.199888e-05 
 6.656274e-03  3.177783e-02  5.575815e-05 
 6.989087e-03  3.336960e-02  5.978204e-05 
 7.338542e-03  3.504118e-02  6.408863e-05 
 7.705469e-03  3.679653e-02  6.765745e-05 
 8.090742e-03  3.863986e-02  7.251596e-05 
 8.495279e-03  4.057560e-02  7.771377e-05 
 8.920043e-03  4.260840e-02  8.327393e-05 
 9.366045e-03  4.474309e-02  8.783999e-05 
 9.834348e-03  4.698478e-02  9.393714e-05 
 1.032607e-02  4.933889e-02  1.006238e-04 
 1.084237e-02  5.181104e-02  1.077738e-04 
 1.138449e-02  5.440712e-02  1.137829e-04 
 1.195371e-02  5.713336e-02  1.218396e-04 
 1.255140e-02  5.999634e-02  1.304528e-04 
 1.317897e-02  6.300289e-02  1.373754e-04 
 1.383791e-02  6.616014e-02  1.470560e-04 
